source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0,l,b,A_0_d,sfr
4939690785333992576,32.81848566170036,-48.049120537252634,0.19432150683439708,0.1,1.1,0.33754116,31.657995,2.7990437,0.24033059387498135,1.1010832,0.039969757242341114,271.63750182157696,-63.94071538541886,0.039969757242341114,
4943871025463563136,31.857300451993602,-45.915366527143654,0.34246988228426734,0.25,1.3,0.3987899,38.039837,7.8321724,0.14778892730823837,1.0552497,0.0416339727239864,269.21174009848124,-65.92263441083117,0.0416339727239864,
4952076543302855808,38.4519394554848,-40.11671698096248,0.3082102415828256,0.2,1.25,0.3736133,35.04648,5.7895737,0.49390325561734033,1.0116111,0.05491433881758174,251.02626030062845,-65.181347980433,0.05491433881758174,
4997731083585450880,7.026674351089668,-38.515572805156694,0.24127070525044836,-0.4,0.6,0.23672137,28.073252,3.2228985,2.304291843580541,0.99936664,0.052884973862761336,324.68399889597265,-77.6099625544734,0.052884973862761336,
5004806161737193344,8.05930432537672,-35.86595133300915,0.1630889827476274,0.15,0.95,0.39804313,41.81723,2.161808,0.6329018359249075,1.0213468,0.03725829070138168,326.80754271543833,-80.3549049528325,0.03725829070138168,
4991701288804613376,3.1218316448824397,-44.54044646608781,0.09997127714326481,-0.9,-0.25,0.26392365,70.09905,5.4267273,0.04788695044162057,1.0983113,0.03544944465264518,324.5678255734319,-70.91549479930714,0.03544944465264518,
5007165301373521920,9.109652638338082,-33.28897470228268,0.28635667738949433,-0.05,1.0,0.318549,33.184578,7.814331,0.12258159607507432,0.97953093,0.038920219226178145,329.7515289547169,-83.04050051134912,0.038920219226178145,
5018212236432844032,26.224698212525464,-33.664715705462285,0.3005417841227649,0.7,1.45,0.603857,60.310303,3.3001099,2.7401891378999417,1.1372896,0.03917542928022449,245.75851830465712,-76.76466024157682,0.03917542928022449,
5025833123322953600,27.113058701923602,-25.862829529187046,0.24862840622226212,-0.05,1.15,0.29306388,28.087196,4.809967,0.5912379045907034,0.9480129,0.04414126598708719,210.48884526963388,-77.1878752093658,0.04414126598708719,
5038740805717866752,23.28037944727853,-24.678793682820427,0.30991508622123654,-0.25,1.0,0.25470594,26.870966,6.923132,0.658575482669702,0.99662936,0.05515187474449538,200.60922649556153,-80.3149070185206,0.05515187474449538,
5023046269368337408,23.032132717259753,-29.66666468931392,0.2593828475560134,-0.55,0.3,0.2492476,38.01472,5.3732796,2.37941562053266,1.0405849,0.04604237032827451,231.15253845804784,-80.70224512286477,0.04604237032827451,
5038079518192736000,27.225857724699217,-24.47208517845451,0.20093851837760113,-0.15,0.85,0.27271324,27.30062,3.764944,-0.036089570678917764,1.0074204,0.040565350034235025,204.52787644182035,-76.80403450757176,0.040565350034235025,
5018807553259772288,28.254591143957843,-31.90701490180357,0.26121501625601784,0.25,1.4,0.3642686,31.739038,5.3425274,0.17608067739078256,1.0031796,0.04309684497148683,236.26226020689998,-75.79276922073397,0.04309684497148683,
5065568099161759616,41.50592051906575,-30.51625677795294,0.11310945248585647,0.6,1.35,0.53672874,51.185593,3.242073,0.32800765696364315,1.0045412,0.0615505725313816,227.48032197708855,-64.74295127230414,0.0615505725313816,
5054761446049205248,50.64652929235881,-32.17855836690238,0.34311665398957114,0.2,1.45,0.34778672,30.368668,7.1491776,0.35118660673687757,1.0543131,0.03996649387084601,230.97773497303785,-56.9453031251325,0.03996649387084601,
5083009686473422592,60.5575260951481,-24.820723404112062,0.305364981760742,0.15,1.15,0.3790017,37.91206,6.5154457,0.8036186013492403,1.0902128,0.06900302750459023,220.99143083048182,-47.31370794756284,0.06900302750459023,
5091783823622415488,65.05674430878857,-20.208089917385145,0.17450412326995313,-0.7,0.3,0.20767972,32.511826,4.6924896,1.4949779246969799,1.129926,0.011738287476751949,216.4157009888513,-42.02423326260195,0.011738287476751949,
5087279090122401664,56.46878332038607,-22.820042800075004,0.14964938736926303,-0.35,0.35,0.32169485,48.60355,2.0612984,2.0569402880861096,0.97884566,0.04172113482302993,216.60876390537598,-50.42698587956819,0.04172113482302993,
5109670403905918464,58.65711799501046,-15.74710601044481,0.31264010649113594,-0.4,0.55,0.281097,39.58496,9.688629,0.9374318746747929,0.9925773,0.0531416607169554,207.59608424735333,-46.13358051325486,0.0531416607169554,
5097975276678068352,62.14066855708089,-15.241071731014978,0.18124310655466935,-0.35,0.6,0.2522559,29.885628,6.648098,-0.39722113089021616,1.0281096,0.06252678642186249,208.78365597351694,-42.84604122906251,0.06252678642186249,
5128173226094752384,44.47093564156172,-19.107726727719278,0.27759837015245736,0.2,1.15,0.40559015,41.30233,5.3570824,0.5689625478390395,0.9756278,0.06273887653245966,204.2534656866545,-59.93289515400187,0.06273887653245966,
5129470855973868800,42.48241821544842,-17.923113446924713,0.38610044106103736,-0.35,1.05,0.23702672,26.386047,10.651817,0.5224609810394318,1.0095906,0.06956001081741103,200.54808216174135,-61.21622636338263,0.06956001081741103,
5157294787988529536,43.490445531108435,-14.982874765797288,0.2549962803239625,0.25,1.45,0.35382816,29.945742,4.2793026,0.17176970357643412,1.093155,0.06929822199247007,196.09654619162825,-59.054392719859806,0.06929822199247007,
5172744403827689856,41.14951921237135,-10.85516698826135,0.21172617828741913,0.35,1.45,0.34435892,25.859947,1.6113758,2.481461747494648,0.9975227,0.06852214683443382,186.9607586912667,-58.81930447437397,0.06852214683443382,
5156672601846369664,42.73040792224425,-16.272470569533862,0.047342395104312374,0.3,1.4,0.33232865,25.205,1.5243263,0.23192597564795994,1.0721778,0.0559244452787482,197.6994710271528,-60.29699944874449,0.0559244452787482,
5171601220972610688,37.455655868911194,-11.895041842912248,0.26426229527417533,-0.15,1.05,0.2649922,25.776634,6.1321316,0.7956736282951595,0.9539977,0.03839516998124073,184.30968934185788,-62.355608238152406,0.03839516998124073,
5194278270339700736,103.44009521893643,-83.53516772143661,0.09192043856460863,0.3,1.25,0.35766566,29.194809,2.6459332,0.5224136909256882,0.9962657,0.1197930722144765,295.68061068884026,-26.87649382258768,0.1197930722144765,
5260472576887944576,98.33083038896099,-76.38143952145207,0.41612093502403713,-0.25,0.8,0.29726642,36.60133,9.949619,0.15583693425679268,0.9828559,0.14526187277266198,287.6062136384418,-27.368367371518538,0.14526187277266198,
5385623014747253760,172.88681061942387,-38.265433234366064,0.3758237664006163,-0.15,0.85,0.31171298,35.667267,6.1849823,1.1289113730422422,0.9980818,0.14888731516173442,286.1209432864924,21.984374082202347,0.14888731516173442,
5455471311968338688,159.3225751228135,-29.200336257175397,0.15326660469535724,0.25,1.1,0.3930783,36.957993,1.6427383,2.5722974183072482,1.0479665,0.07018662683153512,270.7368314467921,25.15704954693645,0.07018662683153512,
5469510426185969024,157.6154826273646,-25.45577791175403,0.10499991306207157,0.35,1.15,0.42909253,40.151966,2.9976616,1.0372533683568046,1.02967,0.08060416683173478,266.9938516586108,27.406573778009083,0.08060416683173478,
5473724785536204032,155.31501232646536,-23.60470328168451,0.25261393014175404,-0.05,1.1,0.3086713,31.158482,5.876251,0.00014536597350455364,0.94079894,0.07178030089803639,263.85493644513195,27.64715061841121,0.07178030089803639,
5465757552482298368,152.86045542088593,-28.104127349314652,0.40587160543699063,-0.3,0.7,0.27733195,33.90279,9.174213,1.0244176841367907,0.99872965,0.07529883596596215,264.9955740874569,22.742529517093324,0.07529883596596215,
5475305024262943360,156.32624581673554,-22.72887107363651,0.22989611559255074,-0.45,0.65,0.2345242,29.424208,5.0945377,0.37351773520693504,0.9781223,0.06521027681799016,264.08710548980565,28.907934662459994,0.06521027681799016,
5471523975573696128,160.74177628651938,-23.539129455340348,0.407577410739961,0.15,1.1,0.3984321,41.899,7.2146034,0.7394177221064083,0.9866399,0.11085045081704445,268.44329793105607,30.5938838094771,0.11085045081704445,
5482325612165203584,91.46767281394416,-60.68119890333276,0.02318049198858141,-0.15,0.6,0.32119504,37.87021,2.9794807,0.4001378430843612,0.9702374,0.01594818317992701,269.67228332429886,-28.924324996499134,0.01594818317992701,
5495062595379608576,95.4821884291702,-58.019660956381784,0.2266765044229393,0.2,1.4,0.33722907,28.552874,4.82596,0.45460630205618907,0.99891865,0.027642396870911412,266.9683939922469,-26.57079474908908,0.027642396870911412,
5482037505759148928,90.61508151468531,-61.448073587268965,0.20471238447038598,-0.85,0.1,0.19451532,35.386753,5.548855,0.32637840844347843,1.0355688,0.04432817422424507,270.5152293502534,-29.389446803321324,0.04432817422424507,
5568982590316407296,95.97741669601383,-44.149377934033474,0.25416284828661784,-0.25,0.8,0.26532072,29.157314,3.7152824,0.14770212963634333,1.1249073,0.07528957952855117,252.11820948445518,-23.211521314149024,0.07528957952855117,
5551453763629722496,102.54781369296194,-47.990249586206296,0.3456867507630257,0.05,1.1,0.34482563,34.833374,9.314453,0.27978366619267475,0.9329668,0.09315837058413665,257.5172175262324,-20.00182259637621,0.09315837058413665,
5552218508326051968,97.20020527901453,-47.84311448503541,0.3677637523454642,0.25,1.45,0.35681134,30.452826,6.459326,0.46081130166515444,0.9871968,0.016742338748793217,256.24047869945167,-23.386344379899345,0.016742338748793217,
5571723569724893824,95.13407537749067,-41.643572283590665,0.2654268920053635,-0.3,0.35,0.3770468,62.66516,6.5119324,1.3546028930254739,0.9798713,0.08831931838717104,249.31362478820492,-23.104092118416958,0.08831931838717104,
5671718860870326016,147.63781328152248,-18.342643948723975,0.04220800084760512,-0.25,0.3,0.39099395,63.320633,1.9789352,-0.08853095954661153,0.9735285,0.069135891992755,253.89501900427035,26.84181764550613,0.069135891992755,
5660602626515361792,149.76886113120398,-23.942513771778415,0.38505967674761266,-0.1,1.25,0.2746553,26.118982,9.077391,-0.06981213889662323,0.987848,0.054213388089118894,259.7588894699214,24.139714337292038,0.054213388089118894,
5672691378905123200,151.10540431453154,-17.907237554256763,0.1782273542478734,-0.4,0.5,0.25463834,32.483692,4.3731766,0.039066314283082784,1.1122005,0.051471406937560464,256.24129637225167,29.4439164004729,0.051471406937560464,
5668952691477532672,153.87879287634846,-20.12746509257238,0.20941328209565402,-0.05,0.95,0.31974313,33.433838,4.258087,0.08407524377615172,1.0708746,0.055613198909034094,260.18713784452905,29.516874024206246,0.055613198909034094,
